,Unnamed: 0.1,Unnamed: 0,songs,artist,title,lyrics,enumerated_list,lyrics_not_found
286,286,86,Ski,"Young Stoner Life, Young Thug, Gunna",Top Songs of 2021: USA,"TranslationsEnglishEnglishItalianoSki Lyrics
Woo
(Tsunami)
Spider, SEX

Yeah, yeah (Woo)
Yeah (Woo), yeah (Yeah)
Yeah (Yeah), yeah
Yeah (Yeah), yeah (Yeah)
The price I want for a show, you 'gon need three promoters (Woo)
I got the body from Jim Ellis, but I had switched the motor (Skrrt)
I got these bad ass bitches riding 'round this bitch and they all the coldest (Yeah)
I just told her make a store run (Yeah)
I just bought all the Trojans (Yeah), yeah (Yeah)
I told her stay out my mentions (Yeah)
I told her stop telling everything she seen and told hеr, ""Meet me at the Ritz"" (Let's go)
I got baguеttes in the back of my ring and I wasn't even tryna hit (Tryna hit, yeah, yeah)
I told her she gotta run through the team before she can talk to the lick ('Fore she can talk to the, yeah)
Lamb chop, I just pulled up in some food (Skrrt, skrrt)
I told lil' mama, ""Tie all my shoes"" (My shoes)
Showed her two million cash, now she woozy (Woah)
Twenty watches and I'm still snoozin' (Twenty)
I had came up out the trenches, then I had beat a few bodies like Boosie (Woo, woo, woo, woo, woo, woah, woah)
She said, ""You murk 'em, I show you my coochie""
I had to sing to this bitch like lil' Toosii (Woo)

Yeah, yeah (Woo)
Yeah, yeah (Ski)
Yeah, yeah (Ski)
Yeah, yeah (Let's go)

Bitch got a Backwood on her nightstand, she must be fuckin' with Gunna (Yeah, yeah)
I fuck with slatts and we come to eat rats and I came with some fuckin' piranhas (Yeah)
You might also like
All this Biscotti I got in my 'Wood, need somebody grow me a tree (Tree)
Came out the hood, now my trunk got a hood, now I crank up the car with no keys
Beat it, she for the street-neet-neets
Only once, she got hit at the 'spinini
I feel a lil' rich this week, to influence my family to not be cheap (Be cheap)
I tote an FN on me, call Neechie-Neech, it’s a Glock he keep
Duke Rollin' 60's, he locked in C's
We roll in that coupe with the bucket seats (Bucket seats)
Got out that mud like a football cleat
I used to trap out of that four-door Jeep (Four-door)
Call up the plug and he know what I need (Know what I need)
Stay on her knees so we hardly speak (Hardly speak, yeah)
I'm in New York counting shmoney (Yeah)
Ain't the stuntman, but I'm stuntin' (Yeah)
Wunna, these vibes wanna love me (Yeah)
Not wifey, and no lovey-dovey

Yeah, yeah (Woo)
Yeah, yeah (Ski)
Yeah, yeah (Ski)
Yeah, yeah (Let's go)

Bitch had an Act' stain on her jeans, I know she fucking with Thugger (Yeah, yeah)
I fuck with slatts and we come to eat rats, and I came with some fuckin' piranhas (Yeah)
(Tsunami)25Embed",[],False
288,288,88,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2021: USA,"TranslationsTürkçeDanskDrip Too Hard Lyrics
Run that back, Turbo

You can get the biggest Chanel bag in the store if you want it
I gave 'em the drip, they sucked it up, I got 'em moanin'
I bought a new Patek, I had the watch, so I two-toned 'em
Takin' these drugs, I'm gon' be up until the mornin'
That ain't your car, you just a leaser, you don't own it
If I'm in the club, I got that fire when I'm performin'
The backend just came in, in all hundreds
Vibes galore, cute shit, they all on us
I'm from Atlanta where young niggas run shit
I know they hatin' on me, but I don't read comments
Whenever I tell her to come, she comin'
Whenever it's smoke, we ain't runnin'
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made

Yeah, every other night, another dollar gettin' made
Every other night started with a good day
I feel like a child, I got boogers in the face
Diamonds dancin' in the dial like this shit is a parade
I don't want your chain, Young GonWunna not a slave
I had to draw the line, too many bitches gettin' saved
TSA harass me, so I took a private plane
These pussy niggas lackin', why I'm workin' on my aim
Drip too hard (Too hard), charge it to the card (To the card)
Designer to the ground, I can barely spell the names
Drip too hard, caution on the floor
You gon' fuck around and drown tryna ride a nigga wave
You might also like
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made152Embed",[],False
290,290,90,Real As It Gets (feat. EST Gee),Lil Baby,Top Songs of 2021: USA,"New Music Friday 3/5/21 LyricsWhat’s Next - Drake
Hold On - Justin Bieber
Leave The Door Open  - Silk Sonic
Real As It Gets (feat. EST Gee) - Lil Baby
Serotonin - girl in red
Selfish Love (with Selena Gomez) - DJ Snake
Sacrifice - Bebe Rexha
Beautiful Mistakes (feat. Megan Thee Stallion) - Maroon 5
slower - Tate McRae
Spinning (with Charli XCX & The 1975) - No Rome
Wants and Needs (feat. Lil Baby) - Drake
Machu Picchu - Camilo
Life's A Mess II (with Clever & Post Malone) - Juice WRLD
Need Someone - Zara Larsson
Till Forеver Falls Apart - Ashe
Medicinе - James Arthur
Thugged Out (feat. Kodak Black) - YNW Melly
Really Like That - G Herbo
This Is Heaven - Nick Jonas
Growing Up - Thomas Rhett
We Don’t Talk Enough (with Alexander 23) - Quinn XCII
Ma' G - J Balvin
no sense - Baby Keem
Hellcats & Trackhawks - Only The Family
🐚
Pay Your Way In Pain - St. Vincent
Drink A Little Whiskey Down - Luke Bryan
1-800-miss-ur-guts - TRAMP STAMPS
Skywalker - Oliver Malcolm
Toast with the Butter - Blu DeTiger
You - Charlotte Lawrence
Freaky As Me (feat. Mulatto) - Jacquees
Drill Tumbado - Ovi
Aspen - Young Dolph
F Is For Friends (with Becky G & Tainy) - Trevor Daniel
Falling Up - Dean Lewis
Stormy Weather - Kings of Leon
Body & Soul (feat. Biig Piig) - Emotional Oranges
🕒
Things - Charlie Houston
🕒
do it right (feat. Aminé) - REI AMI
Be Sweet - Japanese Breakfast
Damn Shame - Funkmaster Flex
Built for Everything - Rexx Life Raj
🐚
Diplomatico (feat. Guaynaa) - Major Lazer
Problems - Don Diablo
Care At All - Bryce Vine
🐚
🐚
Dead Girl! - Au/Ra
Make My Mind Up - Tom Grennan
bored&blind - ella jane
LEAVE ME - Peach Tree Rascals
🕒
🐚
Trappin' Ain't Dead (feat. 42 Dugg) - Taleban Dooda
Las Nenas (feat. La Duraca) - Natti Natasha
Safe Passage - Laura Mvula
Don't Assume What You Don't Know - Grace VanderWaal
In His Arms - Jack Ingram
()
Miles to Go - Kaskade
🐚
Musician - Porter Robinson
Pussy - Bad Gyal
90210 - Angelo Mota
Parking Lot - Genevieve Stokes
Heartbroke - Clubhouse
Noya - Ayzha Nyree
🐚
Last Minute - BlueBucksClan
Soul Burden (feat. Fredo Bang) - LBS Kee'vin
Ricochet - Ryan Caraveo
()
Heavy Hearted - Taska Black
Don’t Call Me - Bailey Bryan
🕒
()
Amnesia (feat. GASHI) - Loud Luxury
Don't Deserve This - Nea
How it is - Walk Off the Earth
Palm Reader - DREAMERS
I Got Love - Mother Mother
Sunroof - Brooke Eden
Little Things - Danielle Apicella
Break With Me - SHY Martin
()
()
No Valet - Siena Liggins
Drama - Erika de Casier
F.A.B. - Mia Ariannaa
()
USAY - JAHMED
DENY - Boslen
🕒
JOSIE - Liza Owen
Jessica - Maja Kristina
🐚Embed",[],False
291,291,91,m y . l i f e,"J. Cole, 21 Savage, Morray",Top Songs of 2021: USA,"TranslationsРусскийPortuguêsDeutschItaliano​​m y . l i f e Lyrics
Oh, you came there, God
Yeah, yeah, yeah, yeah
Oh, Lord
No matter how, no matter how long it take, yeah
No matter how long it take, nigga
Oh, God, yeah
You better be

Spiralin' up, just like a rich nigga staircase (Spiral up)
No fly zone, please stay the fuck out my airspace (Out my face)
Niggas say things behind backs that they wouldn't dare say (Dare say)
Know it's on sight when I see you, I'm workin' at Squarespace
Yeah, top of the mornin', I know that you thought I was dormant
Woke up early from shots that were swarmin'
A block full of opps, now the cops in an orbit
Guess somebody got popped, now thеy knockin' on doors
Tryna find an informant but I ain't see Nathan
I'm mindin' my business as God is my witness
No weapon gon' prospеr that’s formin' against me
Nigga, I'm starvin', immensely
Know when I'm done with these songs, you gon' miss me
Ja Morant, I'm on my Grizzly
You niggas just cubs but no, not the ones in the big leagues
After The Fall Off, I promise I'm comin' to sellin' out Wrigley's
Nigga, I'm just a product of poverty, full of narcotics to profit off quickly
My family tree got a history of users that struggle with demons
Not really the hustler instincts
Therefore, often, my pockets was empty
So while some of my partners was servin' up rocks on the corners, the project assemblies
Me, I was startin' to envy, wanna be on the top where it's plenty
Wanna be in the spot like where every bitch want me like Rihanna droppin' new Fenty
What I see in the sky, the 'Ville is the ceilin', can't reach up too high, evidently
Nah, shit, I can't reach up too high, evidently
Never seen no one drivin' a Bentley
I can't be out here moppin' up Wendy's
My life is all I have
My rhymes, my pen, my pad
And I done made it out the struggle, don't judge me
What you sayin' now won't budge me
'Cause where I come from (Come from), so often (So often)
People you grow up with layin' in a coffin
But I done made it through the pain and strife
It's my time now, my world, my life, my life

Say what? The stuff that I've seen got me traumatized
I let the K go when Johnny died
Swangin' that muhfucka' side to side
We don't participate, ain't with that squashin' shit, all we believe in is homicide
I got a good heart, so I send teddy bears every time we make they mommas cry
I pray that my past ain't ahead of me (21)
When I'm in love, I love heavily (On God)
If you betray me, you dead to me (21)
I disrespect you respectfully (Straight up)
I got some partners who left this Earth
Maybe the pain made a better me (On God)
Just know that they secrets is kept with me (On God)
I feel like the streets is in debt with me (Straight up)
I gave my heart away to all the dawg hoes 'cause that's who accepted me (21)
I blame my pops for that shit 'cause if he didn't fail, he could've corrected me (21)
Give all the props to my momma 'cause no matter what, she always protected me (On God)
I promise you, it ain't no checkin' me (On God)
Jump in the water, get wet with me (Straight up, 21, 21)
You want my money or wanna have sex with me?
Can't let the opps or the law get the best of me
I get to answerin', you get to testin' me
I see chicken, you niggas is breast to me
Planted a seed but it ain't a sesame
Can't let you niggas or bitches grow next to me
You might also like
My life is all I have
My rhymes, my pen, my pad
And I done made it out the struggle, don't judge me
What you sayin' now won't budge me
'Cause where I come from (Come from), so often (So often)
People you grow up with layin' in a coffin
But I done made it through the pain and strife
It's my time now, my world, my life, my life206Embed",[],False
293,293,93,Hard for the Next,"Moneybagg Yo, Future",Top Songs of 2021: USA,"Hard for the Next Lyrics
I just bought that chick a Patek
I ain't love her, but I just had to show her status
I just bought that bitch a Patek

Bought that bitch a Patek
I ain't love her, I just stepped up her status
Got her cookin' in the crib without no panties
I just jumped off the lear like a savage
I done turned another one of 'em up knowing I'm careless
I can't have love for these hoes who crabbin'
Saint Laurent my attire, made it a habit
I got more than one, I done made it a habit
And I wanna know if you gon' be there when I need you (Oh, oh)
You fuckin' with a gangsta this timе
Less than fifty in her Birkin then shе ain't one of mine (No)
Adding brightness to your glow, they see the difference in your shine
Codependent, long as you got me you never in a bind, Nate
A nigga go ape shit 'bout you, primate
A drinker not a smoker but for me you hit that pound cake
They say I started somethin' when I had gave you the Lamb'
And other shit they can't see 'cause everything ain't for the 'Gram (Shh)
I put it down
I don't know who need to hear this, another nigga could never
Spoilin' her too easy, make it harder for the next one
I'd rather put her on game than run it on her (Run it on her)
If you can put up with me, you a fuckin' soldier (Gangsta)

You one of them one (My whole life has changed, the one)
It's the Maybach drive itself for me, I better not touch the wheel in this car
You one of them one  (You were that special one, one)
This the life when you lovin' a star, no cap, I'm just

Makin' it harder for the next nigga to spoil you
Makin' it harder for the next nigga to trust you
Makin' it harder for the next nigga to love you
Makin' it harder for the next nigga to please you (Oh, yeah)
You might also like
Get my attention, inspire me  in a see through
I need to be careful 'bout energy I feed you
I did it to her on a jet, it felt so lethal
I feed you racks, feed you racks, like seafood
I know shawty admire me but I had to ghost her
Must've happened right after the time, after I post her
I'm puttin' this worldwide splash on some local
She had my attention from the first time I approached her
I'm puttin' two-tone on her wrist and on her choker
She a hottie, she a baddie, she a smoker
I've been contemplating ‘bout it, buyin' a roaster
Tryna get to know her

Makin' it harder for the next nigga to spoil you
Makin' it harder for the next nigga to trust you
Makin' it harder for the next nigga to love you
Makin' it harder for the next nigga to please you

Bought that bitch a Patek (My whole life has change)
I ain't love her, I just stepped up her status
Got her cookin' in the crib without no panties (You were that special one)
I just jumped off the lear like a savage
I done turned another one of 'em up knowing I'm careless
I can't have love for these hoes who crabbin’
Saint Laurent my attire, made it a habit
I got more than one, I done made it a habit
And I wanna know if you gon' be there when I need you
You one of them one (My whole life has change)
You one of them one (You were that special one)5Embed",[],False
294,294,94,Need To Know,Doja Cat,Top Songs of 2021: USA,"TranslationsTürkçeEspañolРусскийPortuguêsDeutschFrançaisNeed to Know Lyrics
Yeah

Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm
What's your size? (Size)
Add, subtract, divide ('Vide)
Daddy don't throw no curves (Curves)
Hold up, I'm goin' wide (Wide)
We could just start at ten (Ten)
Then we can go to five (Five)
I don't play with my pen (Pen)
I mean what I writе
Yeah-yeah, woah-woah-woah
I just can't help but bе sexual (Oh)
Tell me your schedule (Yeah)
I got a lotta new tricks for you, baby
Just sayin' I'm flexible (I will)
I do what I can to get you off (I will)
Might just fuck him with my makeup on (I will)
Eat it like I need an apron on (Yeah, oh)
Eat it 'til I need to change my thong (Yeah, ayy)
We could do it to your favorite song (Yeah, ayy)
Take a ride into the danger zone
You know my nigga be buggin' me
I just be wonderin' if you can fuck on me better
Itchin' for me like an ugly sweater
Need it in me like a Chuck E. need cheddar
I need to know
You might also like
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm

You're exciting, boy, come find me
Your eyes told me, ""Girl, come ride me""
Fuck that feeling both us fighting
Could he try me? (Yeah) Mmm, most likely

Tryna see if you could handle this ass
Prolly give his ass a panic attack
Sorry if I gave a random erection
Prolly thinkin' I'm a telekinetic
Oh, wait, you a fan of the magic?
Poof, pussy like an Alakazam
I heard from a friend of a friend
That that dick was a ten out of ten
I can't stand it, just one night me
Clink with the drink, gimme a sip
Tell me what's your kink, gimme the dick
Spank me, slap me, choke me, bite me (Ew)
Oh, wait, I can take it (Ah)
Give a fuck 'bout what your wifey's sayin' (Yeah)
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm116Embed",[],False
295,295,95,Still Goin' Down,Morgan Wallen,Top Songs of 2021: USA,"Still Goin Down Lyrics
The way I talk, I guess I got it from my pops
Product of some kneelin' down
In a town where the doors don't lock
And there's a million other people like me
From a scene a little more podunk than pop
I didn't choose being born in the sticks
And I'll be damned if I sound like something I ain't
For some folks, a backroad gets old
But for me, it just can't
'Cause I'm from a small town, southern drawl crowd
We're sippin' clear, drinkin' beer on a Friday night
Every country girl got on her cutoffs
Shakin' her hips, take a trip, buddy tell me I'm a liar
Still circle up big trucks around a fire
Still kickin' up some dust behind the tires
Call it cliché, but hey, just take it from me
It's still goin' down out in the country

Somewhere now, someone's out there
Sippin' on some hundred proof
Every day, a baby's born with some baby blues
A good ol' boy's got on his faded boots
Workin' a nine to five
I'm just another southern hell raiser
Ain't breakin' ground
Makin' sound for them drop-it-down tailgaters
But y'all, that's all I know to say
So if you think I'm full of it, ain't done it, check the resume

'Cause I'm from a small town, southern drawl crowd
We're sippin' clear, drinkin' beer on a Friday night
Every country girl got on her cutoffs
Shakin' her hips, take a trip, buddy tell me I'm a liar
Still circle up big trucks around a fire
Still kickin' up some dust behind the tires
Call it cliché, but hey, just take it from me
It's still goin' down out in the country
You might also like
'Cause I'm from a small town, southern drawl crowd
We're sippin' clear, drinkin' beer on a Friday night
Every country girl got on her cutoffs
Shakin' her hips, take a trip, buddy tell me I'm a liar
Still circle up big trucks around a fire
Still kickin' up some dust behind the tires
Call it cliché, but hey, just take it from me
It's still goin' down out in the country5Embed",[],False
296,296,96,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: USA,"TranslationsTürkçeEspañolPortuguêsPolskiItalianoDeutschFrançaisNederlandsLonely Lyrics
Everybody knows my name now
But somethin' 'bout it still feels strange
Like lookin' in a mirror, tryna steady yourself
And seein' somebody else
And everything is not the same now
It feels like all our lives have changed
Maybe when I'm older, it'll all calm down
But it's killin' me now

What if you had it all
But nobody to call?
Maybe then you'd know me
'Cause I've had everything
But no one's listening
And that's just fuckin' lonely
I'm so lo-o-o-onely
Lo-o-o-onely

Everybody knows my past now
Like my house was always made of glass
And maybe that's the price you pay
For the money and fame at an early age
And everybody saw me sick
And it felt like no one gave a shit
They criticized the things I did as an idiot kid

What if you had it all
But nobody to call?
Maybe then you'd know me
'Cause I've had everything
But no one's listening
And that's just fuckin' lonely

I'm so lo-o-o-onely
Lo-o-o-onely
I'm so lo-o-o-onely
Lo-o-o-onelyYou might also like54Embed",[],False
297,297,97,Beautiful Crazy,Luke Combs,Top Songs of 2021: USA,"Beautiful Crazy Lyrics
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to meYou might also like20Embed",[],False
298,298,98,late at night,Roddy Ricch,Top Songs of 2021: USA,"TranslationsEspañolPortuguês​late at night Lyrics
Late at night
Kiss me in the mornin', late at night
Catch me drivin' down 405
Catch me and your girl late at night, side to side
Mustard on the beat, ho

Late at night
Kiss me in the mornin' or late at night
Long as you come through
I'ma make you cum over and over
I'ma treat you like I'm 'posed to
You better never make no time for these niggas
'Cause when I ride, I'ma ride, ride with you
I can't fuck with nobody
I can't keep livin' like this, I can't
I tell her what it is and I tell her what it ain't
She know that I been all in her walls like I paint
Told her at times I wanna give you trust, but I can't
Bitch, I really got it out the mud, climbin' up the ranks
When they see me outside, I'm a high roller
I've been on a global jet, but nigga, I fly solo
And I got the Gucci splattered all on her knick-knacks
Fifty racks, I'm 'bout to break her off like a KitKat
And her purse got F's like the wheels on the 'Bach
I just fucked off a million, but I still got a sack
Shorty know that I'm the realest, she know I be speakin' facts
She know that I'm the same nigga that was pushin' 'Cat
She know I got the game, but I'm never gon' give it back
Every time that we fuck, I gotta run it back

Late at night
Kiss me in the mornin' or late at night
Long as you come through
I'ma make you cum over and over
I'ma treat you like I'm 'posed to
You better never make no time for these niggas
'Cause when I ride, I'ma ride, ride with you
You might also like
I told shorty never get too comfortable
I like to feel like the pussy untouchable
I like to feel like it's never goin' one way
I like to see your body drippin' Eliantte
I say I like the way I took ya' on a wave
I had you screamin' my name out

Late at night
Kiss me in the mornin' or late at night
Long as you come through
I'ma make you cum over and over
I'ma treat you like I'm 'posed to
You better never make no time for these niggas
'Cause when I ride, I'ma ride, ride with you

Ride, ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride
Ride, ride, ride, ride, ride29Embed",[],False
299,299,99,pov,Ariana Grande,Top Songs of 2021: USA,"TranslationsPolskiTürkçeEspañolСрпскиAriana Grande - pov (Русский перевод)Norsk (bokmål / riksmål)DeutschFrançaisEestiPortuguês​pov Lyrics
It's like you got superpowers
Turn my minutes into hours
You got more than 20/20, babe
Made of glass, the way you see through me
You know me better than I do
Can't seem to keep nothing from you
How you touch my soul from the outside
Permeate my ego and my pride

I wanna love me (Ooh)
The way that you love me (Ooh)
Ooh, for all of my pretty and all of my ugly too
I'd love to see me from your point of view
I wanna trust me (Trust me)
The way that you trust me (Trust me)
Ooh, 'cause nobody ever loved me like you do
I'd love to see me from your point of view
I'm gеtting used to receiving
Still gеtting good at not leaving
I'ma love you even though I'm scared (Oh, scared)
Learnin' to be grateful for myself (Oh, oh, oh)
You love my lips 'cause they say the
Things we've always been afraid of
I can feel it startin' to subside
Learnin' to believe in what is mine

I wanna love me (Ooh)
The way that you love me (Ooh)
Ooh, for all of my pretty and all of my ugly too
I'd love to see me from your point of view
I wanna trust me (Trust me)
The way that you trust me (Trust me)
Ooh, 'cause nobody ever loved me like you do
I'd love to see me from your point of view

I couldn't believe it or see it for myself
Know I be impatient
But now I'm out here, fallin', fallin'
Frozen, slowly thawing, got me right
I won't keep you waitin', waitin'
All my baggage fadin' safely (My baggage fadin')
And if my eyes deceive me
Won't let them stray too far away
You might also like
I wanna love me (Ooh)
The way that you love me (Ooh)
Ooh, for all of my pretty and all of my ugly too
I'd love to see me from your point of view
I wanna trust me, ooh (Trust me)
The way that you trust me, baby (Trust me)
'Cause nobody ever loved me like you do
I'd love to see me from your point of view (Oh)
Yeah159Embed",[],False
300,300,0,WAIT FOR U (feat. Drake & Tems),Future,Top Songs of 2022: USA,"TranslationsEnglishTürkçeEspañolFuture - WAIT FOR U ft. Drake & Tems (Tradução em Português) Lyrics
Eu vou esperar por você, por você
De manhã cedo, tarde da noite (Eu vou esperar por você)
Não importa que horas for (Eu vou esperar por você)
O Rollie Presidencial já tá a caminho (Cansada, dizendo, ""Aye, yi, yi, yi"")
Sempre que eu encontro tempo, tá tudo bem (Ayy)
ATL Jacob, ATL Jacob

Você reza pelos meus demônios, garota, eu entendo você
Toda vez que eu bebo codeína, fico vulnerável
Eu conheço os sons da tempestade quando ela chеga
Ela entende quе eu não posso levar ela pra todos os lugares que eu vou
Eu estive no campo tipo os filhos do milho
Eu posso ouvir suas lágrimas quando elas caem pelo telefone
Fica brava consigo mesma porque não consegue me deixar em paz
Fofoca, arrumando bagunça, isso não é o que estamos fazendo (O mundo estava acabando)
Viajar ao redor do mundo (Você choraria ou tentaria me pegar?)
Pelo telefone, derramando lágrimas (Me diga agora, eu quero que você seja claro, yeah)
Eu fico mais vulnerável quando tomo pílulas (Me diga agora, eu quero que você seja claro, yeah)
Quando você tá bêbada, você me diz exatamente como se sente (Eu vou esperar por você, por você)
Quando eu tô carregado, mantenho a real (Eu vou esperar por você, vou esperar por você)
Por favor, fala pra um verdadeiro exatamente o que é (Eu vou esperar, vou esperar, por você, por você)
Não diga isso porque você sabe que é isso que eu quero ouvir (Eu vou esperar por você, vou esperar por você)

Yeah, eu estive viajando ao redor do mundo
Eu sento na minha varanda e me pergunto como você tá se sentindo
Eu tenho uma carreira que tira meu tempo das mulheres
Eu não posso te convencer de que eu te amo pra sempre (Vou esperar por você, por você)
Eu vou estar te ligando, os sentimentos estão fluindo como um rio
Você vai estar mandando mensagens de volta pra Kiki no rio (Eu vou esperar por você)
A mensagem foi entregue (Eu vou esperar por você), mas eu sei que você não leu
Por que você nos apresenta se você sabia que tava com ele? (Eu vou esperar por você, por você, por você)
Me fez apertar a mão dele quando vocês estavam transando à um minuto (Eu vou esperar por você, por você)
Me fez caminhar na prancha, porque você sabe que eu sou um nadador (Eu vou esperar por você)
Eu deveria ser seu cachorro, mas você me colocou num canil
Garota, coloque uma focinheira nisso, em todos aqueles latidos durante o jantar
Eu tava fechado com você quando você ganhou o Presidencial pequeno
Você melhorou quando me conheceu e isso não é coincidência
Tentei trazer o melhor de você, acho que eu não sou tão influente
Acho que eu não sou o cara para você
You might also like
Eu posso ouvir suas lágrimas quando elas caem pelo telefone
Fica brava consigo mesma porque não consegue me deixar em paz
Fofoca, arrumando bagunça, isso não é o que estamos fazendo (O mundo estava acabando)
Viajar ao redor do mundo (Você choraria ou tentaria me pegar?)
Pelo telefone, derramando lágrimas (Me diga agora, eu quero que você seja claro, yeah)
Eu fico mais vulnerável quando tomo pílulas (Me diga agora, eu quero que você seja claro, yeah)
Quando você tá bêbada, você me diz exatamente como se sente (Eu vou esperar por você, por você)
Quando eu tô carregado, mantenho a real (Eu vou esperar por você, vou esperar por você)
Por favor, fala pra um verdadeiro exatamente o que é (Eu vou esperar, vou esperar, por você, por você)
Não diga isso porque você sabe que é isso que eu quero ouvir (Eu vou esperar por você, vou esperar por você)

De manhã cedo, tarde da noite
Não importa que horas for
O mundo estava acabando, você choraria ou tentaria me pegar?
Me diga agora, eu quero que você seja claro, yeah
Me diga agoraEmbed",[],False
