,Unnamed: 0,songs,artist,title,lyrics,enumerated_list,lyrics_not_found
54,54,Money,Cardi B,Top Songs of 2019: Canada,"TranslationsEspañolMoney Lyrics
Look, my bitches all bad, my niggas all real
I ride on his dick in some big tall heels
Big fat checks, big large bills
Front, I'll flip like ten cartwheels
Cold ass bitch, I give broads chills
Ten different looks and my looks all kill
I kiss him in the mouth, I feel all grills
He eat in the car, that's meals on wheels (Woo)

I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Bustin' out the roof (Cardi)
You might also like
I gotta fly, I need a jet, shit
I need room for my legs
I got a baby, I need some money, yeah
I need cheese for my egg
All y'all bitches in trouble
Bring brass knuckles to the scuffle
I heard that Cardi went pop
Yeah, I did go pop (Pop)
That's me bustin' they bubble
I'm Dasani with the drip
Baby mommy with the clip
Walk out Follie's with a bitch
Bring a thottie to the whip
If she fine or she thick, goddamn
Walkin' past the mirror, ooh
Damn, I'm fine (Fine)
Let a bitch try me, boom (Boom)
Hammer time, uh

I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Touch me, I'll shoot (Bow)
Bitch, I will pop on your pops (Your pops)
Bitch, I will pop on whoever (Brrr)
You know who pop the most shit? (Who?)
The people whose shit not together (Okay)
You'da bet Cardi a freak (Freak)
All my pajamas is leather (Uh)
Bitch, I will black on your ass (Yeah)
Wakanda forever
Sweet like a honey bun, spit like a Tommy gun
Rollie a one of one, come get your mommy some
Cardi at the tip-top, bitch
Kiss the ring and kick rocks, sis (Mwah)
Jump it down, back it up (Ooh, ayy)
Make that nigga put down 2K
I like my niggas dark like D'USSÉ
He gonna eat this ass like soufflé

I was born to flex, diamonds on my neck
I like boardin' jets, I like mornin' sex
But nothing in this world that I like more than Kulture
(Kulture, Kulture, Kulture)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the
K.K.C (Woo)
(Money)
Money
(Money)
(Money)
(Money)
(Money)
(Money)
(Money)82Embed",[],False
55,55,Whiskey Glasses,Morgan Wallen,Top Songs of 2019: Canada,"Whiskey Glasses Lyrics
Poor me, pour me another drink
'Cause I don't wanna feel a thing
No more, hell nah
I just wanna sip 'til the pain wears off
Poor me, pour me another round
Line 'em up and knock 'em down
Two more let's go
'Cause I ain't never hurt like this before

Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on

I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
(Ain't nothing else to do, but sip around the truth)
And see the world through whiskey glasses
(I need a better view, where I don't drink to you)
You might also like
Last call
I swear this will be my last call
Now I ain't drunk dialing no more at 3 am
Mr. Bartender hittin' me again

Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on

I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
(Ain't nothing else to do, but sip around the truth)
Oh, see the world through whiskey glasses
(I need a better view, where I don't drink to you)
Line 'em up, line 'em up, line 'em up, line 'em up
Knock 'em back, knock 'em back, knock 'em back, knock 'em back
Fill 'em up, fill 'em up, fill 'em up, fill 'em up
'Cause if she ain't ever coming back
Line 'em up, line 'em up, line 'em up, line 'em up
Knock 'em back, knock 'em back, knock 'em back, knock 'em back
Fill 'em up, fill 'em up, fill 'em up, fill 'em up
'Cause if she ain't ever coming back

I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
(Ain't nothing else to do, but sip around the truth)
Oh, see the world through whiskey glasses
(I need a better view, where I don't drink to you)
Yeah

(Ain't nothing else to do, but sip around the truth)
And see the world through whiskey glasses
(I need a better view, where I don't drink to you)
Yeah12Embed",[],False
58,58,Beautiful Crazy,Luke Combs,Top Songs of 2019: Canada,"Beautiful Crazy Lyrics
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
You might also like
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me20Embed",[],False
59,59,Don't Call Me Up,Mabel,Top Songs of 2019: Canada,"TranslationsNederlandsDon’t Call Me Up Lyrics
When I'm underneath the bright lights
When I'm tryna have a good time
'Cause I'm good now you ain't mine
Now, now, now, now, don't call me up
When you're looking at my photos
Getting hot, losing control
You want me more now I let go
Now, now, now, now

I'm over you and I don't need your lies no more
'Cause the truth is, without you, boy, I'm stronger
And I know you said that I changed with my cold heart
But it was your game that left scars
Ooh, I'm over you

Don't call me up
I'm going out tonight
Feeling good now you're outta my life
Don't wanna talk about us
Gotta leave it behind
One drink and you're outta my mind
Now, now take it up
Baby, I'm on a high
You're alone, going out of your mind
When I'm here up in the club
And I don't wanna talk
So don't call me up
You might also like
'Cause I'm here looking fine, babe
And I got eyes looking my way
And everybody's on my vibe, babe
Now, now, now, now, don't call me up
My friends said you were a bad man
I should have listened to them back then
And now you're tryna hit me up again
Now, now, now, now

I'm over you and I don't need your lies no more
'Cause the truth is, without you, boy, I'm stronger
And I know you said that I changed with my cold heart
But it was your game that left scars
Ooh, I'm over you

Don't call me up
I'm going out tonight
Feeling good now you're outta my life
Don't wanna talk about us
Gotta leave it behind
One drink and you're outta my mind
Now, now take it up
Baby, I'm on a high
You're alone, going out of your mind
When I'm here up in the club
And I don't wanna talk
So don't call me up
Don't call me up
So don't call me up
Don't call me up

I'm over you and I don't need your lies no more
'Cause the truth is, without you, boy, I'm stronger
And I know you said that I changed with my cold heart
But it was your game that left scars
Ooh, I'm over you

Don't call me up
I'm going out tonight
Feeling good now you're outta my life
Don't wanna talk about us
Gotta leave it behind
One drink and you're outta my mind
Now, now take it up
Baby, I'm on a high
You're alone, going out of your mind
When I'm here up in the club
And I don't wanna talk
So don't call me up17Embed",[],False
60,60,Here With Me (feat. CHVRCHES),Marshmello,Top Songs of 2019: Canada,"Here With Me Lyrics
Can I tell you something just between you and me?
When I hear your voice, I know I'm finally free
Every single word is perfect as it can be
And I need you here with me
When you lift me up, I know that I'll never fall
I can speak to you by saying nothing at all
Every single time, I find it harder to breathe
'Cause I need you here with me

Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me

I think I see your face in every place that I go
I try to hide it, but I know that it's gonna show
Every single night, I find it harder to sleep
'Cause I need you here with me
You might also like
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me

Can I tell you something just between you and me?
When I hear your voice, I know I'm finally free
Every single word is perfect as it can be
'Cause I need you here with me26Embed",[],False
61,61,Leave Me Alone,Flipp Dinero,Top Songs of 2019: Canada,"Leave Me Alone Lyrics
Yeah, yeah
Yeah, I miss you but I got no time for that (Damn, yeah)
Yeah, ayy, yeah, ayy (Young Forever)

Yeah, I miss you but I got no time for that
How could you? Wish you had never played me
Have no time for that (Damn)
Claiming you're my lady, got no time for that
How could you move it like you're crazy?
I ain't call you back (Damn)

Leave me alone
Drunk as fuck
Bitch you dumb as fuck
Running up the bucks (D-damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Yeah, yeah, yeah, yeah (Ayy)
You might also like
Yeah, I miss you but I got no time for that
You was my lil' lady, drive me crazy
I was fine with that (Damn)
How you just gon' play me? I ain't fine with that
Thinking 'bout you daily
Smoking crazy while I'm off the tech (Damn)
Flexin', oh, we was flexing
Always had told you that you'd be a star
Goals in our checklist (Damn)
Question, oh, check your message
Knew that I couldn't fuck the bitch from the start
Or she was texting (Damn)
Demon, she cold (Yeah)
Leave and I'm gone (Yeah)
Fiendin', she on (Yeah)
Dreaming, we are (Yeah)
Drop is a coupe
Dropping the top of my car (Ayy)
I cannot love on no bitch when she fucking the clique
Man, she playing her part (Yeah, damn, ayy)
Life is a bitch, knew all that shit from the start (Ayy)
I told myself I walk up from that bitch and she leave all that shit in the dark (Like damn)

Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn)
Leave me alone
Yeah, yeah, yeah, yeah
You can't play me, I'm just wavy
Sipping purple 'til I'm lazy
Like a throwback
Ayisyen, how you ain't know that?
Hit my bop like I'm Lil Kodak
On the block where it ain't good at
I can't sweat you, I'm like, ""Who that?""
I can't sweat you, I don't do that (Nah, nah, ayy)
Tell you the truth
I ain't want you to depart (Ayy)
I wanted you but I can't fuck with you
'Cause you different, you can't play your part (No, damn, ayy)
Tell you the truth
I wanted you from the start (Ayy)
I cannot fuck on no bitch
I can't love when the bitch is not playing her part (Like damn)

Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Yeah, yeah, yeah, yeah62Embed",[],False
62,62,SOS (feat. Aloe Blacc),Avicii,Top Songs of 2019: Canada,"Best New Weekly EDM/Pop Releases 2019 LyricsWeek 19 – 6/5-12/5
SG Lewis - ""Flames"" feat. Ruel
R3hab & Julie Bergan - ""Don't Give Up On Me Now""
David Guetta - ""Stay (Don't Go Away)"" feat. Raye
Week 18 – 29/4-5/5
BANKS - ""Gimme""
Hayden James & Naations - ""Nowhere To Go""
Off Bloom - ""Am I Insane?""
Week 17 – 22/4-28/4
Tritonal & Evalyn - ""Real""
Osrin - ""Not That Complicated"" feat. Hilda
Zara Larsson - WOW""
Week 16 – 15/4-21/4
Two Friends - ""Dollar Menu"" feat. Dani Poppitt
Kygo & Rita Ora - ""Carry On""
Yaeger - ""I Don't Even Know What I'm Saying""
Week 15 – 8/4-14/4
Peking Duk - ""Ur Eyez""
Avicii - ""SOS"" feat. Aloe Blacc
Seeb - ""Free To Go"" feat. Highasakite
Week 14 – 1/4-7/4
Alison Wonderland - ""Peace""
EMMA WALL - ""Bittersweet""
Week 13 – 25/3-31/3
Flume - ""Friends"" feat. Reo Cragun
Jax Jones & Martin Solveig - ""All Day and Night"" feat. Madison Beer
Martin Garrix, Matisse & Sadko - ""Mistaken"" feat. Alex Aris
Week 12 – 18/3-24/3
KREAM - ""Edit You"" feat. Stela Cole
Flume & HWLS - ""High Beams""
Dynoro & Ina Wroldsen - ""Obsessed""
Week 11 – 11/3-17/3
SG Lewis & Clairo - ""Throwaway""
LSD - ""No New Friends""
Nikki Vianna & Matoma - ""When You Leave""
Week 10 – 4/3-10/3
Tritonal - ""Diamonds"" feat. Rosie Darling
Alesso - ""TIME""
Prince Fox & Ellise - ""Tell Me""
Week 9 – 25/2-3/3
Lemaitre - ""Smoke""
benny blanco, Tainy, Selena Gomez & J Balvin - ""I Can't Get Enough""
KSHMR & Yves V - ""No Regrets"" feat. Krewella
Week 8 – 18/2-24/2
Martin Garrix & BONN - ""No Sleep""
Vincent - ""Can't Help Myself"" feat. Pauline Herr
Alina Baraz - ""Floating"" (Ekali Remix) feat. Khalid
Week 7 – 11/2-17/2
Zedd & Katy Perry - ""365""
Tritonal - ""Hard Pass"" feat. RYANN
Felix Cartal & Lights - ""Love Me""
Week 6 – 4/2-10/2
David Guetta, Brooks & Loote - ""Better When You're Gone""
RL Grime & graves - ""Arcus""
Julian Jordan - ""Need You"" feat. SMBDY
Week 5 – 28/1-3/2
Astrid S - ""Someone New""
Vanic - ""Good On Me"" feat. Olivia Noelle
Broods - ""Everytime You Go I Cry""
Week 4 – 21/1-27/1
Dillon Francis & Alison Wonderland - ""Lost My Mind""
RITUAL & Tove Styrke - ""Love Me Back""
Rudimental - ""Last Time"" feat. Raphaella
Week 3 – 14/1-20/1
Sabrina Carpenter - ""Sue Me"" (Marian Hill Remix)
Sofi Tukker & ZHU - ""Mi Rumba""
The Aston Shuffle & Fabich - ""Stay"" feat. Dana Williams
Week 2 – 7/1-13/1
Grey - ""Want You Back"" feat. LÉON
Vincent & yetep - ""Same Page"" feat. Brooke Daye
Calvin Harris & Rag'n'Bone Man - ""Giant""
Week 1 – 1/1-6/1
Barren Gates & Serion - ""Deep Within""
Lost Kings - ""Don't Kill My High"" feat. Wiz Khalifa & Social House
3LAU - ""Would You Understand"" feat. Carly Paige10Embed",[],False
64,64,Knockin' Boots,Luke Bryan,Top Songs of 2019: Canada,"Knockin’ Boots Lyrics
This truck needs a half tank
These wheels need a two-lane
This radio needs three songs to play
To get me 'cross town to you
That dress needs to slip off
That hair needs to come down
Friday nights need to do
What Friday nights need to do
That's the truth

Yeah, birds need bees and ice needs whiskey
Boys like me need girls like you to kiss me
""Fishin' in the Dark"" needs Nitty Gritty
Under that pale moon
Sweet tea needs that sugar stirrin'
Small town nights need both ends burnin'
Shades need drawin', hearts need fallin'
Boots need knockin', knockin' boots
Knockin' boots, me and you, oh

Long weeks need a weekend
Cheap drinks need a-slingin'
That dance floor needs some me on you
And you on me tonight
Singalongs need to be sung
Tip bells need to be rung
Last calls need a call that cab
And backseats need I want you so bad
You might also like
Yeah, birds need bees and ice needs whiskey
Boys like me need the girls like you to kiss me
""Fishin' in the Dark"" needs Nitty Gritty
Under that pale moon
Sweet tea needs that sugar stirrin'
Small town nights need both ends burnin'
Shades need drawin', hearts need fallin'
Boots need knockin', knockin' boots
Knockin' boots, girl, me and you

Doors need shuttin'
Lights need cuttin'
Lips need lockin'
Boots need knockin'

And birds need bees and ice needs whiskey
Boys like me need girls like you to kiss me
""Fishin' in the Dark"" needs Nitty Gritty
Under that pale moon
Sweet tea needs that sugar stirrin'
Small town nights need both ends burnin'
Shades need drawin', hearts need fallin'
Boots need knockin', knockin' boots
Mmm, knockin' boots, me and you, oh
Knockin' boots1Embed",[],False
66,66,Suge,DaBaby,Top Songs of 2019: Canada,"Suge Lyrics
Pooh, you a fool for this one
Ha
Oh Lord, Jetson made another one

Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah

The first nigga play, I'ma body a nigga (Ha)
I just checked my balance
I'll probably pull up to your hood
And come buy me a nigga (No cap)
You know that your ho told you that nigga crazy
Don't think that she lied to you, nigga (Bitch)
Get caught with your ho when I'm poppin' 'em both
Now they high just like Bobby and Whitney (Haa)
Say I'm the goat, act like I don't know
But fuck it, I'm obviously winnin'
Don't make me go hit the bank and take out a hundred
To show you our pockets are different (Ha)
I'm out with your bitch and I only want knowledge
She got a lil' mileage, I'm chillin' (Uh)
You disrespect me and I'll beat your ass up
All in front of your partners and children (Ahh, ahh)
I'm the type to let a nigga think that I'm broke
Until I pop out with a million (I pop)
Take 20K and put that on your head
And make one of your partners come kill you (Yeah)
Say he fuckin' with me then he gotta grow up
'Cause this nigga gotta be kiddin' (Kiddin')
This shit, it can't fit in my pocket
I got it, like I hit the lottery, nigga (Hot, hot, hot)
Opp, I'll slap the shit out a nigga
No talkin', I don't like to argue with niggas (I don't)
Ain't gon' be no more laughin'
You see me whip out 'cause I'm gon' be done shot me a nigga (No cap)
I don't follow no bitches on IG
But all of your bitches, they follow a nigga (Ha)
And that lil' nigga ain't gon' shoot shit with that gun
He just pull it out in his pictures (Bitch, uh)
You might also like
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want
I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah

Talkin' my shit, I'ma pop that (Pop)
Got like thirty-two thousand in one of my pockets
The other one, that's where the Glock at (Glock)
You little niggas wanna be internet gangster
Man, tell all these little niggas stop that (Ha)
Been done burnt me a nigga in front of the store
Where your mammy and grandmama shop at (Bitch)
Hopped out on a whole other wave from these niggas
Let's see one of you little niggas top that
I will turn a nigga into a convertible
Push me a lil' nigga top back (Vroom)
Her boyfriend be hatin' and callin' her groupie
Just 'cause she like all my music (Ha)
She'll send me a text and then delete the message
He tryna find out, it's confusin'
I don't know what these niggas is thinkin' about
Use the brain in your head 'fore you lose it (Bitch)
I'll pull up after school and I'll teach her some shit
Tell your bro I'm a motherfuckin' tutor
'Member I used to cheat off a pretty bitch test
All the teachers, they thought I was stupid (Uh huh)
Was expectin' the box to pull up on a truck
Man, this nigga pulled up on a scooter (The fuck?)
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want
I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah76Embed",[],False
67,67,I'm Not Alright,"Loud Luxury, Bryce Vine",Top Songs of 2019: Canada,"I’m Not Alright Lyrics
You like to drink and to smoke to take away the pain
And I don't remember all of my mistakes
And every high got low with no one to blame
You’re not alright, I'm not alright

XO
When I'm high in the shade and I’m feelin' a way
Baby, hello
I just wanted to see if your plans ever change
You're my XO
Gotta fight for the love
What a rush and I don't want to let go
So don't let me go

Got no patience, conversation drivin' you up the wall
I'm imperfect, you're a goddess, no sarcasm at all
You say you’re sorry, but don’t know what you're sorry for, no
No point in keeping the score

You like to drink and to smoke to take away the pain
And I don’t remember all of my mistakes
And every high got low with no one to blame
You're not alright, I'm not alright
You might also like
You're not alright, I’m not alright
I like to drink and to smoke to take away the pain
And you don't remember all of your mistakes
And when our hearts aren't broke, they're out of place
You're not alright, I'm not alright

Let's roll
You and I don't belong in a place like this
Baby, let's roll
We don't need to believe everything they think
When it's all so, uh
Headed down that road and you don't gotta go down solo
No, don't let me go

Got no patience, conversation drivin' you up the wall
I've been perfect, you're a goddess, no sarcasm at all
You say you're sorry, but don't know what you're sorry for, no
No point in keeping the score

You like to drink and to smoke to take away the pain
And I don't remember all of my mistakes
And every high got low with no one to blame
You're not alright, I'm not alright
You're not alright, I'm not alright
I like to drink and to smoke to take away the pain
And you don't remember all of your mistakes
And when our hearts aren't broken, they're out of place
You're not alright, I'm not alright3Embed",[],False
68,68,Thotiana,Blueface,Top Songs of 2019: Canada,"Thotiana Lyrics
Blueface, baby
Yeah aight
Bust down, Thotiana
Yeah aight
I wanna see you bust down

Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, then slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)
Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, now slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)

Blueface, baby
Yeah aight, I'm every woman's fantasy (Blueface, baby)
Mama always told me I was gon' break hearts
I guess it's her fault, stupid, don't be mad at me (Don't be mad at me)
I wanna see you bust down (Bust down)
Bend that shit over, on the gang (Yeah aight)
Make that shit clap
She threw it back so I had to double back, on the gang (On the gang)
Smackin', high off them drugs (Off them drugs)
I tried tell myself two times was enough (Was enough)
Then a nigga relapsed, on the dead locs
Ain't no runnin', Thotiana, you gon' take these damn strokes (Thotiana)
I beat the pussy up, now it's a murder scene
Keep shit player, Thotiana, like you ain't never even heard of me (Blueface, baby)
Bust down, Thotiana, I wanna see you bust down (Bust down)
Bend that shit over (Bend it over)
Yeah aight, now make that shit clap, on the gang (Make it clap)
Now toot that thing up (Toot it up)
Throw that shit back (Throw it back)
I need my extras, on the dead locs
You might also like
Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, then slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)
Bust down, Thotiana (Bust down, Thotiana)
I wanna see you bust down (Over)
Pick it up, now break that shit down (Break it down)
Speed it up, now slow that shit down, on the gang (Slow it down)
Bust it (Bust down), bust down, bust it, bust it
Bust down, on the gang (Over)32Embed",[],False
69,69,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2019: Canada,"New Music Friday 06/28/19 LyricsEd Sheeran - Beautiful People (feat. Khalid)
Daniel Caesar - LOVE AGAIN
Chris Brown - Don't Check On Me (feat. Justin Bieber & Ink)
The Black Keys - Walk Across The Water
Ellie Goulding - Hate Me (with Juice WRLD)
J Balvin - QUE PRETENDES
Mustard - Ballin' (feat. Roddy Ricch)
Rich Brian - Yellow (feat. Bekon)
mxmtoon - high & dry
Kygo - Higher Love
H.E.R. - Racks (feat. YBN Cordae)
Daniel Caesar - SUPERPOSITION
Julia Michaels - Hurt Again
BENEE - Glitter
Marshmello - Room to Fall
Carnage - Wait For Me (feat. G-Eazy & Wiz Khalifa)
Delacey - The Subway Song
Grace VanderWaal - Ur So Beautiful
Joyner Lucas - Broke and Stupid
BTS - Heartbeat (BTS World Original Soundtrack)
NF - When I Grow Up
Clairo - Closer To You
Conan Gray - Checkmate
Evie Irie - Bitter
Red Hearse - Red Hearse
Vampire Weekend - I'm Goin' Down - Recorded at Electric Lady Studios NYC
Annie Hamilton - Kitchen
serpentwithfeet - Receipts (feat. Ty Dolla $ign)
Daniel Caesar - FRONTAL LOBE MUZIK
Chris Brown - Need A Stack
Freddie Gibbs - Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike)
Daddy Yankee - Si Supieras
J Balvin - LA CANCIÓN
G-Eazy - Spectacular Now
Céline Dion - Flying On My Own
Why Don't We - Come To Brazil
Andy Grammer - Some Girl
Ingrid Michaelson - Young and in Love
Leah Kate - Girl on Girl
Chris Lane - Big, Big Plans
Brittany Howard - History Repeats
Thom Yorke - I Am a Very Rude Person
Lucy Dacus - Forever Half Mast
Liam Gallagher - The River
Juicy J - Three Point Stance (feat. City Girls & Megan Thee Stallion)
Rich The Kid - Party Bus
Fat Joe - Pullin
Phora - Forgive Me
Neck Deep - She's A God
Bring Me The Horizon - mother tongue - Recorded at Spotify Studios NYC
Furious Monkey House - Echoes
Sasha Sloan - Dancing With Your Ghost
Tori Kelly - Sorry Would Go A Long Way
Yuna - Pink Youth
Trixxie - All Of My Life
CNCO - De Cero
Big K.R.I.T. - Addiction (feat. Lil Wayne & Saweetie)
Mez - Upset
A$AP Ferg - Wigs (feat. City Girls & ANTHA)
Lil Yachty - Go Krazy, Go Stupid Freestyle
Bhad Bhabie - Get Like Me (feat. NLE Choppa)
Kevin Gates - Push It
Baby Rose - All To Myself
Marlhy - Claustrophobic
Adam Lambert - Comin In Hot
Kassi Ashton - Field Party
JP Saxe - Same Room
Meghan Trainor - Hurt Me - From ""Songland""
Johnta Austin - Love Angel
Ty James - Heartbreak City
Slushii - Far Away
Caravan Palace - Plume
ayokay - Things Fall Apart
Boston Bun - Don't Wanna Dance
Alok - The Wall
K.Flay - Not In California
Silverstein - Burn It Down
Korn - You'll Never Find Me
Jeremy Renner - Heaven Don't Have a Name
Digital Farm Animals - Without You Now (feat. AJ Mitchell)
Kim Petras - Icy
Wifisfuneral - WYA, Pt. 2
Landon Cube - 17
RIZ LA VIE - Saturn
Michael Brun - Eda
Conor Maynard - Hate How Much I Love You
Stanaj - Love Me
Gigi Cesare - Obsessed
Felix Jaehn - Love On Myself
Global Dan - Runaway
Runaway June - We Were Rich
Josie Dunne - Ooh La La
Njomza - No One Is Spared
Frawley - Losers
Isle Of You - Hard to Forget
Ajani Jones - Lucid
Zero - Aim Steady
Jaydayoungan - Dead Man Walking
Foley - Can't Help the WayEmbed",[],False
70,70,lovely,"Billie Eilish, Khalid",Top Songs of 2019: Canada,"TranslationsEnglishPortuguêsDeutschFrançaisEnglish​lovely Lyrics
Thought I found a way
Thought I found a way out (Found)
But you never go away (Never go away)
So I guess I gotta stay now

Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Walking out of time
Looking for a better place (Looking for a better place)
Something's on my mind
Always in my head space

But I know someday I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear
You might also like
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home393Embed",[],False
